account_id,phone,device_id,ip_address,email,account_created_at,account_status,is_fraud_ring
ACC0001,916-315-5940,DEVN00003,172.25.97.183,barbara10@example.net,2024-12-08T00:41:27.711406,active,no
ACC0002,313-416-4752x5534,DEVN00018,10.142.111.3,ogray@example.net,2025-07-26T08:45:20.503491,closed,no
ACC0003,+1-850-930-5641x39537,DEVFAM003,10.126.69.245,julie69@example.com,2025-03-11T21:32:24.915799,frozen,no
ACC0004,(387)810-1226,DEVFAM009,172.30.250.67,tasha01@example.net,2026-03-12T20:26:45.463809,frozen,no
ACC0005,001-645-514-6270x48281,DEVN00043,10.82.182.142,georgetracy@example.org,2026-04-12T20:51:24.311684,frozen,no
ACC0006,430-639-1171x8227,DEVFAM014,192.168.216.165,sarahcampos@example.net,2024-11-19T07:20:16.313809,active,no
ACC0007,565-578-7133x1509,DEVN00064,10.30.36.179,carlosjohnson@example.com,2024-08-20T02:24:12.521266,active,no
ACC0008,547.938.2997,DEVN00076,10.172.86.30,agomez@example.com,2026-02-26T04:27:26.541394,frozen,no
ACC0009,9104651333,DEVN00085,172.30.205.217,nancyjones@example.net,2024-09-08T00:51:59.881633,closed,no
ACC0010,+1-880-213-2677x3602,DEVN00097,172.30.143.109,rodney87@example.org,2024-11-11T10:17:03.012347,frozen,no
ACC0011,909.480.5009,DEVN00108,10.41.4.94,caseyjones@example.org,2025-04-10T03:25:45.343729,active,no
ACC0012,001-739-690-9169,DEVN00117,10.160.220.181,josephanderson@example.net,2025-01-27T11:57:03.386229,frozen,no
ACC0013,310-579-9118x38425,DEVN00121,172.30.5.155,cheryl80@example.net,2026-01-24T11:20:58.091783,active,no
ACC0014,512-641-1824x4935,DEVFAM003,192.168.26.2,waltersmaria@example.org,2024-07-03T23:34:03.276029,active,no
ACC0015,001-724-427-8680x11280,DEVN00143,172.25.221.64,rachel05@example.org,2025-10-21T22:43:13.309024,closed,no
ACC0016,+1-815-586-9232x26025,DEVFAM010,172.19.117.132,ebrennan@example.org,2024-11-18T04:49:24.759958,active,no
ACC0017,754.833.0365x414,DEVN00163,192.168.169.140,wilsontara@example.org,2025-08-11T21:54:27.096517,active,no
ACC0018,501-696-5569x816,DEVN00171,10.52.122.63,michaeljones@example.net,2026-04-07T00:57:01.384067,active,no
ACC0019,+1-551-848-4656x482,DEVN00185,192.168.89.26,richard04@example.com,2024-11-25T15:04:08.781702,active,no
ACC0020,001-495-377-7387,DEVN00190,172.26.185.220,cardenaskaren@example.net,2025-02-03T19:02:49.200557,closed,no
ACC0021,820.503.7917,DEVN00209,192.168.253.31,psanchez@example.net,2024-07-05T09:09:10.600988,active,no
ACC0022,001-716-932-8708x31727,DEVN00218,192.168.218.125,vmerritt@example.com,2025-05-12T13:10:18.918293,frozen,no
ACC0023,001-334-487-3471x43455,DEVN00223,10.78.60.125,calebrussell@example.net,2025-05-23T15:31:41.866678,active,no
ACC0024,2367690967,DEVN00239,172.29.104.159,tracynelson@example.com,2024-07-21T19:37:01.110377,closed,no
ACC0025,462-972-9806x99016,DEVN00243,10.194.25.230,jason55@example.com,2025-01-12T06:42:40.113835,active,no
ACC0026,(241)470-8053x10033,DEVN00250,10.58.145.64,stevenscott@example.com,2024-10-26T22:51:27.390885,active,no
ACC0027,+1-312-541-9049x663,DEVN00261,10.154.105.11,hoganashlee@example.org,2025-03-01T13:01:23.725855,active,no
ACC0028,(451)685-0671x65726,DEVN00270,192.168.247.140,ugraham@example.net,2025-01-05T09:02:42.141217,active,no
